Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.55,0.0,0.05946,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0
2.65,1.0,0.04626,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0
2.75,0.0,0.03675,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0
2.85,0.0,0.02932,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0
2.95,0.0,0.02249,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
3.05,0.0,0.01849,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
3.15,1.0,0.01478,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
3.25,0.0,0.01209,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
3.35,1.0,0.0092,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
3.45,0.0,0.00759,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
3.55,0.0,0.00548,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
3.65,0.0,0.00456,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
3.75,0.0,0.00386,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.85,0.0,0.00303,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3.95,0.0,0.00227,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4.05,0.0,0.00197,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4.15,0.0,0.00132,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4.25,0.0,0.00126,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.35,0.0,0.00102,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4.45,0.0,7.4E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.55,0.0,4.2E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.65,0.0,4.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.75,0.0,4.5E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.85,0.0,2.2E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.95,0.0,1.9E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.05,0.0,2.1E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.15,0.0,1.7E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.25,0.0,1.8E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.35,0.0,9.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.45,0.0,3.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.55,0.0,7.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.65,0.0,1.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.75,0.0,3.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.85,0.0,1.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.95,0.0,1.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.05,0.0,1.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.15,0.0,4.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
