Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.9803763,0.9494079,0.974
6.1,0.8871268,0.8235097,0.848
6.2,0.8871268,0.8235097,0.848
6.3,0.8096603,0.74859124,0.797
6.4,0.7896568,0.7301986,0.778
6.5,0.7216974,0.6685876,0.713
6.6,0.67120606,0.6232902,0.664
6.7,0.6208343,0.5789777,0.609
6.8,0.56295055,0.5250604,0.552
6.9,0.49310338,0.45926955,0.484
7.0,0.43596002,0.40497994,0.417
7.1,0.3670798,0.33984506,0.35
7.2,0.041013867,0.04282311,0.034
7.3,0.019270914,0.01976881,0.018
7.4,0.010669046,0.010797184,0.009
7.5,0.0035654847,0.0035637012,0.002
7.6,3.18109E-4,3.1998812E-4,0.0
