Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.18348867,0.20049015,0.242
6.1,0.18348867,0.20049015,0.242
6.2,0.18348867,0.20049015,0.242
6.3,0.18348867,0.20049015,0.242
6.4,0.18348867,0.20049015,0.242
6.5,0.078115106,0.08645,0.129
6.6,0.078115106,0.08645,0.129
6.7,0.075372994,0.08362293,0.124
6.8,0.07327547,0.081447475,0.122
6.9,0.05766245,0.064045385,0.087
7.0,0.050694123,0.05638967,0.068
7.1,0.049276557,0.054855883,0.065
7.2,0.047073264,0.05250221,0.062
7.3,0.041677244,0.046669967,0.056
7.4,0.03275345,0.03725189,0.041
7.5,0.020804655,0.02399756,0.018
7.6,0.018982671,0.021960245,0.012
7.7,0.014743813,0.017210921,0.009
