Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.6420427E-5,1.4692009E-5,2.4691863E-5,1.6806321,1.0E-5,7.037136E-5,6.296445E-5,8.296319E-5,1.3176196,2.0E-5,8.5643446E-4,7.6636096E-4,7.863456E-4,1.0260774,2.0E-5,0.008531413,0.0076409746,0.0076905927,1.0064937,5.0E-5
6.1,1.6420427E-5,1.4692009E-5,2.4691863E-5,1.6806321,1.0E-5,7.037136E-5,6.296445E-5,8.296319E-5,1.3176196,2.0E-5,8.5643446E-4,7.6636096E-4,7.863456E-4,1.0260774,2.0E-5,0.008531413,0.0076409746,0.0076905927,1.0064937,5.0E-5
6.2,1.6420427E-5,1.4692009E-5,2.4691863E-5,1.6806321,1.0E-5,7.037136E-5,6.296445E-5,8.296319E-5,1.3176196,2.0E-5,8.5643446E-4,7.6636096E-4,7.863456E-4,1.0260774,2.0E-5,0.008531413,0.0076409746,0.0076905927,1.0064937,5.0E-5
6.3,1.2046778E-5,9.862255E-6,1.9862156E-5,2.0139568,1.0E-5,5.1628023E-5,4.2266256E-5,6.226541E-5,1.4731708,2.0E-5,6.283899E-4,5.144933E-4,5.3448306E-4,1.0388532,2.0E-5,0.0062661595,0.0051353034,0.0051750983,1.0077492,4.0E-5
6.4,1.2046778E-5,9.862255E-6,1.9862156E-5,2.0139568,1.0E-5,5.1628023E-5,4.2266256E-5,6.226541E-5,1.4731708,2.0E-5,6.283899E-4,5.144933E-4,5.3448306E-4,1.0388532,2.0E-5,0.0062661595,0.0051353034,0.0051750983,1.0077492,4.0E-5
6.5,1.0244343E-5,7.879378E-6,1.78793E-5,2.2691257,1.0E-5,4.390359E-5,3.3768443E-5,5.376777E-5,1.5922489,2.0E-5,5.343951E-4,4.1107394E-4,4.310657E-4,1.0486331,2.0E-5,0.005331118,0.0041051665,0.0041350434,1.0072778,3.0E-5
6.6,9.605408E-6,7.1774166E-6,1.7177344E-5,2.393249,1.0E-5,4.1165385E-5,3.0760108E-5,5.0759492E-5,1.6501727,2.0E-5,5.010733E-4,3.7446033E-4,3.9445283E-4,1.0533901,2.0E-5,0.00499945,0.0037402906,0.0037701784,1.0079907,3.0E-5
6.7,8.60418E-6,6.123926E-6,6.123926E-6,1.0,0.0,3.687454E-5,2.6245243E-5,3.6244983E-5,1.3810114,1.0E-5,4.48855E-4,3.195085E-4,3.295053E-4,1.031288,1.0E-5,0.004479495,0.0031924031,0.0032123392,1.0062449,2.0E-5
6.8,5.187994E-6,2.563117E-6,2.563117E-6,1.0,0.0,2.223407E-5,1.0984763E-5,1.0984763E-5,1.0,0.0,2.7066618E-4,1.3373529E-4,1.3373529E-4,1.0,0.0,0.0027033675,0.0013369396,0.0013369396,1.0,0.0
6.9,4.5302368E-6,2.3442778E-6,2.3442778E-6,1.0,0.0,1.9415156E-5,1.0046889E-5,1.0046889E-5,1.0,0.0,2.3635388E-4,1.2231797E-4,1.2231797E-4,1.0,0.0,0.0023610266,0.0012228956,0.0012228956,1.0,0.0
7.0,3.431668E-6,1.6882177E-6,1.6882177E-6,1.0,0.0,1.4707065E-5,7.2352186E-6,7.2352186E-6,1.0,0.0,1.7904381E-4,8.808879E-5,8.808879E-5,1.0,0.0,0.0017889962,8.8088785E-4,8.8088785E-4,1.0,0.0
