Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.4658423E-6,1.4715657E-6,1.1471551E-5,7.795473,1.0E-5,6.282166E-6,6.3066955E-6,1.6306632E-5,2.5856063,1.0E-5,7.6482684E-5,7.678138E-5,8.6780616E-5,1.13023,1.0E-5,7.645637E-4,7.6755555E-4,7.775479E-4,1.0130184,1.0E-5
6.1,1.4658423E-6,1.4715657E-6,1.1471551E-5,7.795473,1.0E-5,6.282166E-6,6.3066955E-6,1.6306632E-5,2.5856063,1.0E-5,7.6482684E-5,7.678138E-5,8.6780616E-5,1.13023,1.0E-5,7.645637E-4,7.6755555E-4,7.775479E-4,1.0130184,1.0E-5
6.2,1.4658423E-6,1.4715657E-6,1.1471551E-5,7.795473,1.0E-5,6.282166E-6,6.3066955E-6,1.6306632E-5,2.5856063,1.0E-5,7.6482684E-5,7.678138E-5,8.6780616E-5,1.13023,1.0E-5,7.645637E-4,7.6755555E-4,7.775479E-4,1.0130184,1.0E-5
6.3,1.4658423E-6,1.4715657E-6,1.1471551E-5,7.795473,1.0E-5,6.282166E-6,6.3066955E-6,1.6306632E-5,2.5856063,1.0E-5,7.6482684E-5,7.678138E-5,8.6780616E-5,1.13023,1.0E-5,7.645637E-4,7.6755555E-4,7.775479E-4,1.0130184,1.0E-5
6.4,1.0488257E-6,1.0527513E-6,1.1052741E-5,10.49891,1.0E-5,4.4949593E-6,4.5117836E-6,1.4511738E-5,3.2164085,1.0E-5,5.472476E-5,5.49296E-5,6.4929045E-5,1.1820412,1.0E-5,5.4711284E-4,5.491621E-4,5.5915664E-4,1.0181996,1.0E-5
6.5,1.0488257E-6,1.0527513E-6,1.1052741E-5,10.49891,1.0E-5,4.4949593E-6,4.5117836E-6,1.4511738E-5,3.2164085,1.0E-5,5.472476E-5,5.49296E-5,6.4929045E-5,1.1820412,1.0E-5,5.4711284E-4,5.491621E-4,5.5915664E-4,1.0181996,1.0E-5
6.6,8.463064E-7,8.49363E-7,1.0849354E-5,12.773519,1.0E-5,3.6270226E-6,3.6401223E-6,1.3640086E-5,3.7471504,1.0E-5,4.4158103E-5,4.4317596E-5,5.431715E-5,1.225634,1.0E-5,4.414933E-4,4.4308844E-4,4.53084E-4,1.0225588,1.0E-5
6.7,7.876149E-7,7.902531E-7,1.0790245E-5,13.654163,1.0E-5,3.375488E-6,3.3867946E-6,1.3386761E-5,3.9526343,1.0E-5,4.109579E-5,4.1233452E-5,5.1233037E-5,1.2425115,1.0E-5,4.108819E-4,4.1225864E-4,4.222545E-4,1.0242466,1.0E-5
6.8,6.9940785E-7,7.0165754E-7,1.070165E-5,15.251957,1.0E-5,2.9974588E-6,3.0071003E-6,1.300707E-5,4.325453,1.0E-5,3.649345E-5,3.6610836E-5,4.661047E-5,1.2731332,1.0E-5,3.6487455E-4,3.660485E-4,3.7604486E-4,1.0273088,1.0E-5
6.9,5.899658E-7,5.9155974E-7,5.9155974E-7,1.0,0.0,2.5284223E-6,2.5352535E-6,2.5352535E-6,1.0,0.0,3.0783107E-5,3.086628E-5,3.086628E-5,1.0,0.0,3.0778843E-4,3.086202E-4,3.086202E-4,1.0,0.0
7.0,4.793814E-7,4.8032706E-7,4.8032706E-7,1.0,0.0,2.05449E-6,2.058543E-6,2.058543E-6,1.0,0.0,2.501313E-5,2.5062474E-5,2.5062474E-5,1.0,0.0,2.5010316E-4,2.5059667E-4,2.5059667E-4,1.0,0.0
7.1,4.1256908E-7,4.129939E-7,4.129939E-7,1.0,0.0,1.768152E-6,1.7699726E-6,1.7699726E-6,1.0,0.0,2.1527037E-5,2.1549205E-5,2.1549205E-5,1.0,0.0,2.1524953E-4,2.154713E-4,2.154713E-4,1.0,0.0
7.2,2.822599E-7,2.8161398E-7,2.8161398E-7,1.0,0.0,1.2096847E-6,1.2069165E-6,1.2069165E-6,1.0,0.0,1.47278115E-5,1.469411E-5,1.469411E-5,1.0,0.0,1.4726835E-4,1.4693146E-4,1.4693146E-4,1.0,0.0
7.3,1.5261652E-7,1.5075E-7,1.5075E-7,1.0,0.0,6.540707E-7,6.4607127E-7,6.4607127E-7,1.0,0.0,7.963281E-6,7.8658895E-6,7.8658895E-6,1.0,0.0,7.962996E-5,7.865613E-5,7.865613E-5,1.0,0.0
7.4,7.976414E-8,8.057865E-8,8.057865E-8,1.0,0.0,3.418463E-7,3.45337E-7,3.45337E-7,1.0,0.0,4.1619705E-6,4.2044703E-6,4.2044703E-6,1.0,0.0,4.161893E-5,4.2043914E-5,4.2043914E-5,1.0,0.0
7.5,4.2715055E-8,4.3202512E-8,4.3202512E-8,1.0,0.0,1.830645E-7,1.8515361E-7,1.8515361E-7,1.0,0.0,2.228808E-6,2.2542429E-6,2.2542429E-6,1.0,0.0,2.2287857E-5,2.2542203E-5,2.2542203E-5,1.0,0.0
7.6,2.1807532E-8,2.2057476E-8,2.2057476E-8,1.0,0.0,9.346085E-8,9.4532034E-8,9.4532034E-8,1.0,0.0,1.1378852E-6,1.1509269E-6,1.1509269E-6,1.0,0.0,1.1378794E-5,1.1509211E-5,1.1509211E-5,1.0,0.0
7.7,4.7196043E-9,4.767283E-9,4.767283E-9,1.0,0.0,2.0226874E-8,2.0431212E-8,2.0431212E-8,1.0,0.0,2.4626218E-7,2.4874998E-7,2.4874998E-7,1.0,0.0,2.462619E-6,2.487497E-6,2.487497E-6,1.0,0.0
7.8,7.400003E-11,7.4654505E-11,7.4654505E-11,1.0,0.0,3.171432E-10,3.1994773E-10,3.1994773E-10,1.0,0.0,3.861218E-9,3.895363E-9,3.895363E-9,1.0,0.0,3.861218E-8,3.895363E-8,3.895363E-8,1.0,0.0
