Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.5663975,0.51489484,0.304
6.1,0.5663975,0.51489484,0.297
6.2,0.5587186,0.5066996,0.293
6.3,0.54906195,0.49702436,0.283
6.4,0.5361119,0.48426953,0.274
6.5,0.5204069,0.46946537,0.261
6.6,0.49772608,0.44837,0.248
6.7,0.41196156,0.37254664,0.176
6.8,0.36016282,0.32241467,0.141
6.9,0.27437642,0.23913734,0.099
7.0,0.1551467,0.12841044,0.039
7.1,0.124331884,0.097436346,0.023
7.2,0.11990754,0.09374046,0.023
7.3,0.10172323,0.07890037,0.02
7.4,0.08620436,0.0669756,0.016
7.5,0.075296275,0.059039798,0.015
