Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.4422353,0.497196,0.438
6.1,0.4422353,0.497196,0.438
6.2,0.4422353,0.497196,0.438
6.3,0.4422353,0.497196,0.438
6.4,0.273149,0.30200806,0.188
6.5,0.273149,0.30200806,0.188
6.6,0.270102,0.29894775,0.186
6.7,0.25919184,0.2878496,0.178
6.8,0.20557708,0.22949946,0.132
6.9,0.18937056,0.21201366,0.119
7.0,0.15062425,0.169006,0.092
7.1,0.09079918,0.10315839,0.051
7.2,0.058324784,0.067259535,0.024
7.3,0.031429708,0.03606423,0.013
7.4,0.013372163,0.015030516,0.003
7.5,0.009226421,0.010351575,0.001
7.6,0.0034181245,0.003867885,0.0
7.7,9.438044E-4,0.0011049744,0.0
