Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 yr Probability,1 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,152.9787,59.0,516.0,88.0,79.0,1.0,0.024,63.112
2.6,121.5455,46.0,415.0,70.0,61.0,1.0,0.024,50.1574
2.7,96.5713,35.0,328.0,56.0,48.0,1.0,0.024,39.8685
2.8,76.631,26.0,256.0,44.0,38.0,1.0,0.024,31.6572
2.9,60.8775,20.0,206.0,35.0,33.0,1.0,0.024,25.1673
3.0,48.3706,15.0,161.0,28.0,25.0,1.0,0.024,19.9973
3.1,38.4162,11.0,131.0,22.0,20.0,1.0,0.024,15.8907
3.2,30.5309,8.0,103.0,18.0,15.0,1.0,0.024,12.6297
3.3,24.2305,6.0,82.0,14.0,11.0,1.0,0.024,10.0351
3.4,19.2251,4.0,64.0,11.0,9.0,1.0,0.024,7.9794
3.5,15.2664,3.0,52.0,9.0,8.0,0.9997,0.024,6.3434
3.6,12.1006,2.0,42.0,7.0,6.0,0.9964,0.024,5.032
3.7,9.5874,1.0,34.0,5.0,4.0,0.9886,0.024,3.9805
3.8,7.6238,0.0,26.0,4.0,3.0,0.974,0.024,3.1646
3.9,6.0464,0.0,22.0,3.0,2.0,0.9442,0.024,2.5048
4.0,4.8093,0.0,18.0,3.0,2.0,0.9017,0.024,1.9872
4.1,3.8234,0.0,15.0,2.0,1.0,0.8426,0.024,1.5739
4.2,3.0445,0.0,12.0,2.0,1.0,0.7743,0.024,1.252
4.3,2.4246,0.0,10.0,1.0,0.0,0.6975,0.024,1.0034
4.4,1.92,0.0,8.0,1.0,0.0,0.6223,0.024,0.7956
4.5,1.5294,0.0,7.0,1.0,0.0,0.5436,0.024,0.6287
4.6,1.2161,0.0,6.0,0.0,0.0,0.4709,0.024,0.5
4.7,0.9618,0.0,5.0,0.0,0.0,0.3997,0.024,0.3945
4.8,0.7612,0.0,4.0,0.0,0.0,0.3364,0.024,0.3132
4.9,0.6031,0.0,4.0,0.0,0.0,0.281,0.024,0.2482
5.0,0.4801,0.0,3.0,0.0,0.0,0.233,0.024,0.2005
5.1,0.3827,0.0,3.0,0.0,0.0,0.1933,0.024,0.1606
5.2,0.3023,0.0,2.0,0.0,0.0,0.1601,0.024,0.1287
5.3,0.2388,0.0,2.0,0.0,0.0,0.1309,0.024,0.1023
5.4,0.19,0.0,2.0,0.0,0.0,0.1096,0.024,0.0824
5.5,0.1519,0.0,2.0,0.0,0.0,0.0923,0.024,0.068
5.6,0.1237,0.0,1.0,0.0,0.0,0.0781,0.024,0.0563
5.7,0.0963,0.0,1.0,0.0,0.0,0.0639,0.024,0.0454
5.8,0.0755,0.0,1.0,0.0,0.0,0.0528,0.024,0.0383
5.9,0.0591,0.0,1.0,0.0,0.0,0.0436,0.0231,0.0311
6.0,0.0487,0.0,1.0,0.0,0.0,0.0371,0.0221,0.0263
6.1,0.0408,0.0,1.0,0.0,0.0,0.0324,0.0205,0.0226
6.2,0.034,0.0,1.0,0.0,0.0,0.0275,0.0185,0.0189
6.3,0.0272,0.0,0.0,0.0,0.0,0.0223,0.0154,0.015
6.4,0.0215,0.0,0.0,0.0,0.0,0.0182,0.0135,0.0119
6.5,0.0176,0.0,0.0,0.0,0.0,0.0153,0.0115,0.0097
6.6,0.0136,0.0,0.0,0.0,0.0,0.0121,0.0095,0.0081
6.7,0.0109,0.0,0.0,0.0,0.0,0.0098,0.0082,0.0066
6.8,0.0086,0.0,0.0,0.0,0.0,0.008,0.0067,0.0052
6.9,0.0067,0.0,0.0,0.0,0.0,0.0064,0.0057,0.0044
7.0,0.0049,0.0,0.0,0.0,0.0,0.0048,0.0043,0.0034
7.1,0.0039,0.0,0.0,0.0,0.0,0.0038,0.0034,0.0026
7.2,0.0031,0.0,0.0,0.0,0.0,0.0031,0.003,0.0021
7.3,0.0028,0.0,0.0,0.0,0.0,0.0028,0.0027,0.002
7.4,0.0019,0.0,0.0,0.0,0.0,0.0019,0.0018,0.0013
7.5,0.0011,0.0,0.0,0.0,0.0,0.0011,0.0011,8.0E-4
7.6,9.0E-4,0.0,0.0,0.0,0.0,9.0E-4,9.0E-4,6.0E-4
7.7,6.0E-4,0.0,0.0,0.0,0.0,6.0E-4,6.0E-4,4.0E-4
7.8,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,3.0E-4,3.0E-4
7.9,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4,2.0E-4
8.0,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,1.0E-4
8.1,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,1.0E-4
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
