Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.6581619,0.70369965,0.597
6.1,0.42274937,0.45429423,0.329
6.2,0.42274937,0.45429423,0.329
6.3,0.32663688,0.35232592,0.255
6.4,0.2752973,0.2977487,0.218
6.5,0.21053536,0.228549,0.158
6.6,0.17870663,0.19434161,0.143
6.7,0.13372554,0.14583799,0.11
6.8,0.09285053,0.1006982,0.067
6.9,0.06207465,0.06604502,0.045
7.0,0.05884273,0.06250433,0.044
7.1,0.05639195,0.05984094,0.042
7.2,0.0541788,0.057467535,0.039
7.3,0.050329376,0.053357337,0.034
7.4,0.043260846,0.04584322,0.026
7.5,0.023174247,0.024441719,0.014
7.6,0.010067202,0.010496392,0.007
7.7,0.0016114889,0.0016510518,0.0
7.8,3.5753288E-5,3.639521E-5,0.0
