Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.46218297,0.5065365,0.30228472
6.1,0.46218297,0.5065365,0.30228472
6.2,0.3408064,0.3725993,0.19859402
6.3,0.3408064,0.3725993,0.19859402
6.4,0.28814155,0.3160588,0.16168717
6.5,0.27807578,0.30550456,0.15465729
6.6,0.26234362,0.2889038,0.14411248
6.7,0.24293955,0.2683288,0.13532513
6.8,0.21245626,0.23579076,0.12126538
6.9,0.18167622,0.20292081,0.10193322
7.0,0.13889004,0.15632099,0.07381371
7.1,0.1351813,0.15230125,0.07029877
7.2,0.09936351,0.113444656,0.04745167
7.3,0.05325169,0.061205775,0.02636204
