Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km),Min Hypo Dist To Largest (km),Min Hypo Poly Dist To Largest (km)
Airport Lake,"359, 50, -90",86,7.1,86,7.1,0.142,0.000,0.142,0.000,4.777,0.000
Little Lake,"327, 90, 180",16,3.85,17,7.1,2.321,0.000,10.964,0.000,13.484,0.874
Garlock (Central),"69, 90, 0",2,3.21,3,7.1,10.487,0.000,11.372,0.000,32.260,19.784
So Sierra Nevada,"2, 50, -90",1,2.75,1,2.75,1.410,0.000,4.051,3.719,15.015,14.621
Tank Canyon,"189, 50, -90",0,,0,,8.828,8.822,8.828,8.822,25.783,24.211
Scodie Lineament,"221, 68, 0",0,,0,,16.722,15.781,28.437,27.470,37.414,32.142
Blackwater,"325, 90, 180",0,,0,,18.751,15.133,18.751,15.133,39.597,38.195
White Wolf (Extension),"46, 75, 60",0,,0,,30.051,29.618,42.054,41.908,44.708,43.140
Panamint Valley,"336, 90, -150",0,,0,,30.711,18.736,30.711,18.736,40.995,29.094
Ash Hill,"162, 90, 180",0,,0,,33.252,22.790,35.030,24.060,36.814,25.815
Gravel Hills-Harper Lk,"311, 90, 180",0,,0,,36.864,31.548,40.361,31.548,58.617,52.366
Sierra Nevada  (No Extension),"347, 50, -90",0,,0,,37.553,34.997,39.256,39.231,58.586,58.496
Lenwood-Lockhart-Old Woman Springs,"303, 90, 180",0,,0,,41.188,30.428,55.277,43.455,63.313,53.036
Garlock (West),"50, 90, 0",0,,0,,48.316,47.487,65.719,63.430,66.215,62.045
Towne Pass,"167, 50, -90",0,,0,,52.890,52.879,52.890,52.879,60.081,59.947
