Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1000 yr Probability,1000 yr Supra-Seis Prob
5.0,8.580552,7.981,9.121,8.592,8.819,1.0,1.0
5.1,6.79506,6.318,7.22,6.801,6.584,1.0,1.0
5.2,5.37697,4.986,5.732,5.385,5.423,1.0,1.0
5.3,4.251231,3.938,4.542,4.261,4.27,1.0,1.0
5.4,3.358231,3.102,3.594,3.364,3.493,1.0,1.0
5.5,2.649822,2.443,2.838,2.657,2.664,1.0,1.0
5.6,2.084449,1.919,2.236,2.086,2.133,1.0,1.0
5.7,1.63656,1.504,1.76,1.639,1.674,1.0,1.0
5.8,1.281308,1.176,1.379,1.285,1.292,1.0,1.0
5.9,0.98465,0.899,1.066,0.987,0.998,1.0,1.0
6.0,0.78843,0.714,0.857,0.791,0.802,1.0,1.0
6.1,0.613845,0.553,0.669,0.615,0.619,1.0,1.0
6.2,0.490778,0.441,0.537,0.491,0.481,1.0,1.0
6.3,0.393157,0.35,0.434,0.394,0.405,1.0,1.0
6.4,0.311146,0.275,0.344,0.312,0.314,1.0,1.0
6.5,0.242217,0.212,0.272,0.242,0.238,1.0,1.0
6.6,0.19054,0.164,0.214,0.19,0.197,1.0,1.0
6.7,0.147197,0.126,0.167,0.147,0.149,1.0,1.0
6.8,0.117278,0.098,0.134,0.117,0.112,1.0,1.0
6.9,0.092754,0.077,0.108,0.093,0.092,1.0,1.0
7.0,0.073334,0.06,0.087,0.073,0.073,1.0,1.0
7.1,0.056071,0.044,0.068,0.056,0.059,1.0,1.0
7.2,0.04231,0.032,0.053,0.042,0.042,1.0,1.0
7.3,0.033628,0.025,0.042,0.034,0.033,1.0,1.0
7.4,0.025896,0.019,0.033,0.026,0.026,1.0,1.0
7.5,0.018136,0.013,0.024,0.018,0.019,1.0,1.0
7.6,0.013378,0.009,0.018,0.013,0.014,1.0,1.0
7.7,0.009017,0.005,0.013,0.009,0.009,1.0,1.0
7.8,0.006192,0.003,0.009,0.006,0.006,1.0,1.0
7.9,0.003332,0.001,0.006,0.003,0.004,0.984,0.984
8.0,0.001767,0.0,0.004,0.002,0.002,0.876,0.876
8.1,7.83E-4,0.0,0.002,0.001,0.0,0.583,0.583
8.2,2.96E-4,0.0,0.002,0.0,0.0,0.267,0.267
8.3,7.4E-5,0.0,0.001,0.0,0.0,0.073,0.073
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
