Parent ID,Parent Name,Total Mean Annual Rate,Total 500 Year Prob
861,Airport Lake,0.0,0.0
667,Almanor 2011 CFM,0.0,0.0
219,Anacapa-Dume alt 1,4.4444445E-5,0.022222223
197,Anaheim,0.0,0.0
722,Antelope Valley 2011,0.0,0.0
845,Ash Hill,0.0,0.0
881,Baker,0.0,0.0
668,Bartlett Springs 2011 CFM,5.777778E-4,0.28333333
669,Battle Creek 2011 CFM,0.0,0.0
842,Bear River fault zone,0.0,0.0
581,Bennett Valley 2011 CFM,4.4444445E-5,0.022222223
158,Bicycle Lake,0.0,0.0
741,Big Lagoon - Bald Mtn 2011 CFM,2.3333334E-4,0.11666667
192,Big Pine (Central),2.2222222E-5,0.011111111
191,Big Pine (East),5.5555556E-5,0.027777778
200,Big Pine (West),1.1111111E-5,0.0055555557
87,Blackwater,0.0,0.0
169,Blue Cut,0.0,0.0
170,Brawley (Seismic Zone) alt 1,0.0016333334,0.60555553
541,Breckenridge 2011,1.1111111E-5,0.0055555557
882,Bullion Mountains,0.0,0.0
94,Burnt Mtn,0.0,0.0
561,Butano 2011 CFM,1.0E-4,0.05
165,Cady,0.0,0.0
602,Calaveras (Central) 2011 CFM,6.222222E-4,0.29444444
601,Calaveras (No) 2011 CFM,1.1111111E-4,0.055555556
621,Calaveras (So) - Paicines extension 2011 CFM,7.222222E-4,0.33333334
603,Calaveras (So) 2011 CFM,6.222222E-4,0.2888889
88,Calico-Hidalgo,1.2222222E-4,0.06111111
724,Camp Rock 2011,0.0,0.0
173,Canada David (Detachment),0.0,0.0
176,Carlsbad,0.0,0.0
721,Carson Range (Genoa),0.0,0.0
670,Casmalia 2011 CFM,6.666667E-5,0.033333335
34,Cedar Mtn-Mahogany Mtn,0.0,0.0
172,Cerro Prieto,0.0,0.0
129,Channel Islands Thrust,4.4444445E-5,0.022222223
214,Channel Islands Western Deep Ramp,4.4444445E-5,0.022222223
238,Chino alt 1,2.2222222E-5,0.011111111
124,Clamshell-Sawpit,4.4444445E-5,0.022222223
844,Clayton,0.0,0.0
81,Cleghorn,1.0E-4,0.05
884,Cleghorn Lake,0.0,0.0
883,Cleghorn Pass,0.0,0.0
582,Collayami 2011 CFM,0.0,0.0
184,Compton,7.7777775E-5,0.03888889
622,Concord 2011 CFM,6.666667E-5,0.033333335
626,Contra Costa (Lafayette) 2011 CFM,2.2222222E-5,0.011111111
633,Contra Costa Shear Zone (connector) 2011 CFM,1.1111111E-5,0.0055555557
