Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.8091932E-4,3.570541E-4,3.570541E-4,1.0,0.0,7.751381E-4,0.0015293444,0.0015293444,1.0,0.0,0.00939654,0.018463207,0.018480308,1.0009261,1.7421602E-5,0.090090066,0.16673161,0.16676064,1.0001742,3.4843204E-5
6.1,1.8091932E-4,3.570541E-4,3.570541E-4,1.0,0.0,7.751381E-4,0.0015293444,0.0015293444,1.0,0.0,0.00939654,0.018463207,0.018480308,1.0009261,1.7421602E-5,0.090090066,0.16673161,0.16676064,1.0001742,3.4843204E-5
6.2,1.8091932E-4,3.570541E-4,3.570541E-4,1.0,0.0,7.751381E-4,0.0015293444,0.0015293444,1.0,0.0,0.00939654,0.018463207,0.018480308,1.0009261,1.7421602E-5,0.090090066,0.16673161,0.16676064,1.0001742,3.4843204E-5
6.3,1.7322872E-4,3.426234E-4,3.426234E-4,1.0,0.0,7.4219756E-4,0.0014675693,0.0014675693,1.0,0.0,0.0089988755,0.017723544,0.017740658,1.0009656,1.7421602E-5,0.08643075,0.16066726,0.1606965,1.000182,3.4843204E-5
6.4,1.6334097E-4,3.234411E-4,3.234411E-4,1.0,0.0,6.998449E-4,0.0013854484,0.0013854484,1.0,0.0,0.008487372,0.016739385,0.016756516,1.0010233,1.7421602E-5,0.081704415,0.15255594,0.15258548,1.0001936,3.4843204E-5
6.5,1.5600289E-4,3.1018828E-4,3.1018828E-4,1.0,0.0,6.684125E-4,0.0013287093,0.0013287093,1.0,0.0,0.008107598,0.016058935,0.016076077,1.0010674,1.7421602E-5,0.078181036,0.14683272,0.14686243,1.0002024,3.4843204E-5
6.6,1.4046066E-4,2.8032906E-4,2.8032906E-4,1.0,0.0,6.018354E-4,0.0012008639,0.0012008639,1.0,0.0,0.0073027555,0.014524006,0.014541174,1.0011821,1.7421602E-5,0.07067384,0.13391982,0.13395,1.0002253,3.4843204E-5
6.7,1.14696966E-4,2.3271477E-4,2.3271477E-4,1.0,0.0,4.914658E-4,9.969729E-4,9.969729E-4,1.0,0.0,0.0059671924,0.012071652,0.012088864,1.0014257,1.7421602E-5,0.058094822,0.11274672,0.112777635,1.0002742,3.4843204E-5
6.8,9.3874296E-5,1.8861453E-4,1.8861453E-4,1.0,0.0,4.0225635E-4,8.0810126E-4,8.0810126E-4,1.0,0.0,0.0048864787,0.009794984,0.009794984,1.0,0.0,0.047804173,0.09259856,0.09261437,1.0001707,1.7421602E-5
6.9,5.551852E-5,1.072948E-4,1.072948E-4,1.0,0.0,2.3791482E-4,4.5975443E-4,4.5975443E-4,1.0,0.0,0.0028927654,0.0055832625,0.0055832625,1.0,0.0,0.028553981,0.054245494,0.054261968,1.0003037,1.7421602E-5
7.0,4.2662363E-5,8.2464416E-5,8.2464416E-5,1.0,0.0,1.8282588E-4,3.5337146E-4,3.5337146E-4,1.0,0.0,0.0022236328,0.0042938837,0.0042938837,1.0,0.0,0.022015138,0.042064495,0.042081185,1.0003967,1.7421602E-5
7.1,3.305886E-5,6.3019055E-5,6.3019055E-5,1.0,0.0,1.4167312E-4,2.700538E-4,2.700538E-4,1.0,0.0,0.0017235056,0.0032829668,0.0032829668,1.0,0.0,0.017101998,0.032452874,0.03246973,1.0005194,1.7421602E-5
7.2,2.9856887E-5,5.7013647E-5,5.7013647E-5,1.0,0.0,1.2795182E-4,2.4432142E-4,2.4432142E-4,1.0,0.0,0.0015567001,0.0029705726,0.0029705726,1.0,0.0,0.015458403,0.029453589,0.029470496,1.0005741,1.7421602E-5
7.3,2.4559737E-5,4.599088E-5,4.599088E-5,1.0,0.0,1.0525176E-4,1.9708896E-4,1.9708896E-4,1.0,0.0,0.0012806869,0.0023969305,0.0023969305,1.0,0.0,0.012733313,0.023857482,0.023874488,1.0007129,1.7421602E-5
7.4,1.9002231E-5,3.5049303E-5,3.5049303E-5,1.0,0.0,8.143559E-5,1.502027E-4,1.502027E-4,1.0,0.0,9.910273E-4,0.0018271938,0.0018271938,1.0,0.0,0.009866194,0.018258283,0.018275386,1.0009367,1.7421602E-5
7.5,1.2783333E-5,2.3330069E-5,2.3330069E-5,1.0,0.0,5.4784563E-5,9.998221E-5,9.998221E-5,1.0,0.0,6.667979E-4,0.0012166094,0.0012166094,1.0,0.0,0.006648007,0.012209582,0.012226791,1.0014094,1.7421602E-5
7.6,4.8149627E-6,8.887544E-6,8.887544E-6,1.0,0.0,2.063539E-5,3.8088925E-5,3.8088925E-5,1.0,0.0,2.5120692E-4,4.636352E-4,4.636352E-4,1.0,0.0,0.0025092314,0.0046812436,0.0046985834,1.0037042,1.7421602E-5
7.7,6.0838227E-7,1.2056693E-6,1.2056693E-6,1.0,0.0,2.6073499E-6,5.1671436E-6,5.1671436E-6,1.0,0.0,3.174402E-5,6.290816E-5,6.290816E-5,1.0,0.0,3.1739488E-4,6.5293367E-4,6.7034387E-4,1.0266646,1.7421602E-5
7.8,4.5542808E-7,9.792182E-7,9.792182E-7,1.0,0.0,1.9518332E-6,4.1966427E-6,4.1966427E-6,1.0,0.0,2.376331E-5,5.1092928E-5,5.1092928E-5,1.0,0.0,2.3760769E-4,5.321372E-4,5.4954947E-4,1.0327215,1.7421602E-5
7.9,3.3016747E-7,7.386335E-7,7.386335E-7,1.0,0.0,1.4150027E-6,3.1655684E-6,3.1655684E-6,1.0,0.0,1.7227521E-5,3.8540114E-5,3.8540114E-5,1.0,0.0,1.7226185E-4,3.9930744E-4,4.1672206E-4,1.0436121,1.7421602E-5
8.0,2.347038E-7,5.4714894E-7,5.4714894E-7,1.0,0.0,1.0058731E-6,2.344922E-6,2.344922E-6,1.0,0.0,1.2246436E-5,2.8549053E-5,2.8549053E-5,1.0,0.0,1.2245761E-4,2.9355253E-4,3.1096902E-4,1.0593301,1.7421602E-5
8.1,1.18822804E-7,2.6058973E-7,2.6058973E-7,1.0,0.0,5.092405E-7,1.1168127E-6,1.1168127E-6,1.0,0.0,6.1999854E-6,1.359711E-5,1.359711E-5,1.0,0.0,6.199812E-5,1.3917852E-4,1.5659769E-4,1.1251571,1.7421602E-5
