Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.42848387,0.440255,0.5058005
6.1,0.42848387,0.440255,0.5058005
6.2,0.42848387,0.440255,0.5058005
6.3,0.40268403,0.4126586,0.47331786
6.4,0.40268403,0.4126586,0.47331786
6.5,0.40268403,0.4126586,0.47331786
6.6,0.39384764,0.40441427,0.45939675
6.7,0.36833197,0.38320878,0.39907193
6.8,0.35775277,0.37482563,0.387471
6.9,0.34132642,0.3575042,0.38051045
7.0,0.2934563,0.30703917,0.32946634
7.1,0.2851266,0.29844832,0.31786543
7.2,0.2620973,0.27450225,0.26914153
7.3,0.22980902,0.23841825,0.2412993
7.4,0.21167973,0.21785396,0.21809745
7.5,0.18562731,0.18932578,0.17401393
7.6,0.16642986,0.16881673,0.13921113
7.7,0.10288919,0.099032775,0.051044084
7.8,0.005902799,0.0045153685,0.0
7.9,1.7417852E-4,1.09805864E-4,0.0
