Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.29110852,0.3148793,0.25986078
6.1,0.29110852,0.3148793,0.25986078
6.2,0.29110852,0.3148793,0.25986078
6.3,0.21575403,0.23188594,0.1600928
6.4,0.21575403,0.23188594,0.1600928
6.5,0.1987384,0.21386413,0.14153132
6.6,0.19684294,0.21186118,0.13921113
6.7,0.17521557,0.18891524,0.12064965
6.8,0.1450092,0.15674363,0.109048724
6.9,0.13379058,0.14470214,0.10208817
7.0,0.11981842,0.12971807,0.09280743
7.1,0.1075162,0.11626878,0.083526686
7.2,0.09355138,0.100973226,0.07656612
7.3,0.058682445,0.06344306,0.0487239
7.4,0.046816517,0.050626755,0.046403714
7.5,0.025346402,0.02701939,0.020881671
7.6,0.0082111005,0.007988882,0.006960557
7.7,0.005755832,0.0054990994,0.006960557
7.8,0.002738112,0.0024396626,0.0
7.9,0.0015717698,0.0013296651,0.0
8.0,9.2080625E-4,6.654229E-4,0.0
8.1,9.193365E-6,8.379112E-6,0.0
