Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,10 yr Probability,10 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,2174.8586,1294.0,6750.0,1674.0,1430.0,1.0,0.1829,925.6701
2.6,1727.3899,1026.0,5360.0,1329.0,1217.0,1.0,0.1829,735.1148
2.7,1372.2216,811.0,4264.0,1057.0,976.0,1.0,0.1829,583.8762
2.8,1089.9419,639.0,3394.0,839.0,779.0,1.0,0.1829,463.7812
2.9,865.8735,503.0,2706.0,668.0,556.0,1.0,0.1829,368.4855
3.0,687.5397,397.0,2134.0,532.0,472.0,1.0,0.1829,292.6136
3.1,546.1463,312.0,1706.0,422.0,366.0,1.0,0.1829,232.4769
3.2,433.8243,246.0,1349.0,336.0,291.0,1.0,0.1829,184.6197
3.3,344.5102,193.0,1078.0,267.0,234.0,1.0,0.1829,146.6196
3.4,273.5856,150.0,855.0,212.0,193.0,1.0,0.1829,116.3866
3.5,217.3274,117.0,678.0,169.0,147.0,1.0,0.1829,92.4195
3.6,172.6826,91.0,538.0,134.0,117.0,1.0,0.1829,73.4329
3.7,137.1533,71.0,424.0,107.0,96.0,1.0,0.1829,58.3556
3.8,108.8788,55.0,342.0,85.0,78.0,1.0,0.1829,46.3269
3.9,86.4855,42.0,271.0,68.0,59.0,1.0,0.1829,36.7824
4.0,68.6645,32.0,214.0,54.0,48.0,1.0,0.1829,29.1847
4.1,54.5169,24.0,171.0,43.0,39.0,1.0,0.1829,23.1859
4.2,43.2735,18.0,137.0,34.0,30.0,1.0,0.1829,18.4151
4.3,34.3257,13.0,108.0,27.0,26.0,1.0,0.1829,14.5896
4.4,27.2024,10.0,86.0,21.0,17.0,1.0,0.1829,11.5559
4.5,21.5984,7.0,70.0,17.0,15.0,1.0,0.1829,9.187
4.6,17.115,5.0,55.0,13.0,12.0,0.9999,0.1829,7.2763
4.7,13.5705,3.0,43.0,11.0,8.0,0.9998,0.1829,5.7859
4.8,10.7588,2.0,34.0,8.0,7.0,0.9986,0.1829,4.5894
4.9,8.5009,1.0,28.0,7.0,5.0,0.9938,0.1829,3.6345
5.0,6.7226,1.0,23.0,5.0,4.0,0.9843,0.1829,2.8724
5.1,5.3092,0.0,19.0,4.0,3.0,0.9628,0.1829,2.2741
5.2,4.1799,0.0,15.0,3.0,2.0,0.9304,0.1829,1.8008
5.3,3.2801,0.0,12.0,2.0,1.0,0.8785,0.1829,1.4148
5.4,2.5723,0.0,10.0,2.0,1.0,0.8163,0.1829,1.1077
5.5,2.0224,0.0,8.0,1.0,1.0,0.7422,0.1829,0.8694
5.6,1.5761,0.0,7.0,1.0,0.0,0.6589,0.1829,0.678
5.7,1.2265,0.0,6.0,1.0,0.0,0.5759,0.1829,0.5324
5.8,0.9447,0.0,5.0,0.0,0.0,0.4946,0.1829,0.4144
5.9,0.7164,0.0,4.0,0.0,0.0,0.4163,0.1805,0.3215
6.0,0.5603,0.0,3.0,0.0,0.0,0.3513,0.1768,0.2547
6.1,0.4253,0.0,3.0,0.0,0.0,0.2824,0.1538,0.1951
6.2,0.3059,0.0,2.0,0.0,0.0,0.2181,0.1275,0.1419
6.3,0.2309,0.0,2.0,0.0,0.0,0.1739,0.1065,0.1102
6.4,0.1764,0.0,2.0,0.0,0.0,0.137,0.0891,0.0838
6.5,0.1355,0.0,1.0,0.0,0.0,0.1082,0.0749,0.0642
6.6,0.1067,0.0,1.0,0.0,0.0,0.0885,0.065,0.0514
6.7,0.0784,0.0,1.0,0.0,0.0,0.0657,0.0509,0.0371
6.8,0.0635,0.0,1.0,0.0,0.0,0.0553,0.0443,0.031
6.9,0.0481,0.0,1.0,0.0,0.0,0.0434,0.0364,0.0245
7.0,0.0376,0.0,1.0,0.0,0.0,0.0348,0.0304,0.019
7.1,0.0311,0.0,1.0,0.0,0.0,0.0293,0.0266,0.0154
7.2,0.0233,0.0,0.0,0.0,0.0,0.0225,0.0212,0.0115
7.3,0.0173,0.0,0.0,0.0,0.0,0.0167,0.0162,0.0081
7.4,0.0143,0.0,0.0,0.0,0.0,0.0139,0.0139,0.007
7.5,0.0107,0.0,0.0,0.0,0.0,0.0104,0.0104,0.0054
7.6,0.0061,0.0,0.0,0.0,0.0,0.006,0.006,0.0028
7.7,0.0023,0.0,0.0,0.0,0.0,0.0023,0.0023,9.0E-4
7.8,0.0015,0.0,0.0,0.0,0.0,0.0015,0.0015,6.0E-4
7.9,0.001,0.0,0.0,0.0,0.0,0.001,0.001,4.0E-4
8.0,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,5.0E-4,2.0E-4
8.1,4.0E-4,0.0,0.0,0.0,0.0,4.0E-4,4.0E-4,2.0E-4
8.2,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4,1.0E-4
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
