Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,110.8068,58.0,260.0,84.0,80.0,1.0,0.0127,64.1167
2.6,87.9857,44.0,207.0,67.0,63.0,1.0,0.0127,50.9007
2.7,69.9329,34.0,166.0,53.0,51.0,1.0,0.0127,40.4456
2.8,55.5663,26.0,132.0,42.0,42.0,1.0,0.0127,32.1457
2.9,44.1651,19.0,106.0,34.0,31.0,1.0,0.0127,25.5508
3.0,35.0535,15.0,85.0,27.0,24.0,1.0,0.0127,20.2959
3.1,27.8134,10.0,68.0,21.0,20.0,1.0,0.0127,16.0926
3.2,22.0625,8.0,54.0,17.0,14.0,1.0,0.0127,12.7539
3.3,17.5112,5.0,43.0,13.0,12.0,1.0,0.0127,10.1243
3.4,13.9027,4.0,35.0,10.0,8.0,0.9998,0.0127,8.0414
3.5,11.0427,3.0,28.0,8.0,7.0,0.9991,0.0127,6.3775
3.6,8.7735,2.0,23.0,6.0,6.0,0.9962,0.0127,5.0596
3.7,6.9702,1.0,18.0,5.0,4.0,0.9891,0.0127,4.0263
3.8,5.54,0.0,15.0,4.0,3.0,0.9738,0.0127,3.1958
3.9,4.3936,0.0,13.0,3.0,2.0,0.9439,0.0127,2.533
4.0,3.4813,0.0,10.0,2.0,2.0,0.9022,0.0127,2.0088
4.1,2.771,0.0,9.0,2.0,1.0,0.8469,0.0127,1.6004
4.2,2.2006,0.0,7.0,1.0,1.0,0.7776,0.0127,1.2743
4.3,1.7547,0.0,6.0,1.0,1.0,0.6981,0.0127,1.0178
4.4,1.3894,0.0,5.0,1.0,0.0,0.6173,0.0127,0.8065
4.5,1.107,0.0,5.0,1.0,0.0,0.538,0.0127,0.6438
4.6,0.8825,0.0,4.0,0.0,0.0,0.4633,0.0127,0.5172
4.7,0.7021,0.0,3.0,0.0,0.0,0.3907,0.0127,0.4132
4.8,0.5603,0.0,3.0,0.0,0.0,0.331,0.0127,0.3329
4.9,0.4399,0.0,3.0,0.0,0.0,0.2758,0.0127,0.2626
5.0,0.3434,0.0,2.0,0.0,0.0,0.2229,0.0127,0.203
5.1,0.2695,0.0,2.0,0.0,0.0,0.183,0.0127,0.161
5.2,0.2163,0.0,2.0,0.0,0.0,0.1511,0.0127,0.1291
5.3,0.1718,0.0,2.0,0.0,0.0,0.1231,0.0127,0.1027
5.4,0.1346,0.0,1.0,0.0,0.0,0.0984,0.0127,0.0785
5.5,0.1072,0.0,1.0,0.0,0.0,0.0812,0.0127,0.0628
5.6,0.086,0.0,1.0,0.0,0.0,0.067,0.0127,0.0506
5.7,0.0654,0.0,1.0,0.0,0.0,0.0518,0.0127,0.0374
5.8,0.0517,0.0,1.0,0.0,0.0,0.042,0.0127,0.0306
5.9,0.0405,0.0,1.0,0.0,0.0,0.0343,0.0126,0.0246
6.0,0.03,0.0,1.0,0.0,0.0,0.026,0.0123,0.0183
6.1,0.0225,0.0,0.0,0.0,0.0,0.0193,0.0108,0.0133
6.2,0.0159,0.0,0.0,0.0,0.0,0.0137,0.0082,0.0093
6.3,0.0119,0.0,0.0,0.0,0.0,0.0108,0.0068,0.0075
6.4,0.0094,0.0,0.0,0.0,0.0,0.0086,0.0055,0.006
6.5,0.0075,0.0,0.0,0.0,0.0,0.007,0.0047,0.0046
6.6,0.0052,0.0,0.0,0.0,0.0,0.0052,0.0037,0.0036
6.7,0.0039,0.0,0.0,0.0,0.0,0.0039,0.003,0.0025
6.8,0.0038,0.0,0.0,0.0,0.0,0.0038,0.0029,0.0024
6.9,0.003,0.0,0.0,0.0,0.0,0.003,0.0025,0.002
7.0,0.0024,0.0,0.0,0.0,0.0,0.0024,0.0022,0.0016
7.1,0.002,0.0,0.0,0.0,0.0,0.002,0.0018,0.0013
7.2,0.0014,0.0,0.0,0.0,0.0,0.0014,0.0014,8.0E-4
7.3,0.0011,0.0,0.0,0.0,0.0,0.0011,0.0011,6.0E-4
7.4,9.0E-4,0.0,0.0,0.0,0.0,9.0E-4,9.0E-4,5.0E-4
7.5,8.0E-4,0.0,0.0,0.0,0.0,8.0E-4,8.0E-4,5.0E-4
7.6,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,5.0E-4,3.0E-4
7.7,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,1.0E-4
7.8,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,1.0E-4
7.9,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,1.0E-4
8.0,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,1.0E-4
8.1,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,1.0E-4
8.2,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,1.0E-4
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
