Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.2407607E-5,2.3657254E-5,9.0844915E-5,3.8400447,6.718925E-5,9.602906E-5,1.0138454E-4,1.6856697E-4,1.6626498,6.718925E-5,0.0011685267,0.001233702,0.0013008083,1.0543942,6.718925E-5,0.011624013,0.012273042,0.012339407,1.0054073,6.718925E-5
6.1,2.2407607E-5,2.3657254E-5,9.0844915E-5,3.8400447,6.718925E-5,9.602906E-5,1.0138454E-4,1.6856697E-4,1.6626498,6.718925E-5,0.0011685267,0.001233702,0.0013008083,1.0543942,6.718925E-5,0.011624013,0.012273042,0.012339407,1.0054073,6.718925E-5
6.2,1.0781252E-5,1.1365663E-5,3.3761826E-5,2.9705107,2.2396416E-5,4.620455E-5,4.8709102E-5,7.110443E-5,1.459777,2.2396416E-5,5.623952E-4,5.9287593E-4,6.152591E-4,1.0377535,2.2396416E-5,0.00560974,0.0059133614,0.005935625,1.003765,2.2396416E-5
6.3,1.0781252E-5,1.1365663E-5,3.3761826E-5,2.9705107,2.2396416E-5,4.620455E-5,4.8709102E-5,7.110443E-5,1.459777,2.2396416E-5,5.623952E-4,5.9287593E-4,6.152591E-4,1.0377535,2.2396416E-5,0.00560974,0.0059133614,0.005935625,1.003765,2.2396416E-5
6.4,7.814439E-6,8.237729E-6,1.9435845E-5,2.3593693,1.1198208E-5,3.3490025E-5,3.530408E-5,4.6501897E-5,1.3171818,1.1198208E-5,4.0766477E-4,4.2974384E-4,4.4093723E-4,1.0260466,1.1198208E-5,0.0040691774,0.0042892746,0.004300425,1.0025996,1.1198208E-5
6.5,6.4986366E-6,6.85092E-6,1.8049052E-5,2.6345444,1.1198208E-5,2.7851002E-5,2.9360759E-5,4.055864E-5,1.3813893,1.1198208E-5,3.390332E-4,3.5740953E-4,3.6860374E-4,1.0313203,1.1198208E-5,0.003385164,0.0035684432,0.0035796016,1.003127,1.1198208E-5
6.6,5.582177E-6,5.8860055E-6,1.7084149E-5,2.9025028,1.1198208E-5,2.3923398E-5,2.5225498E-5,3.6423426E-5,1.443913,1.1198208E-5,2.9122844E-4,3.0707786E-4,3.1827265E-4,1.0364558,1.1198208E-5,0.0029084706,0.003066609,0.0030777727,1.0036404,1.1198208E-5
6.7,4.6858763E-6,4.940427E-6,1.613858E-5,3.2666366,1.1198208E-5,2.0082172E-5,2.1173091E-5,3.2371063E-5,1.5288775,1.1198208E-5,2.4447302E-4,2.5775246E-4,2.6894777E-4,1.0434344,1.1198208E-5,0.0024420423,0.0025745912,0.0025857608,1.0043383,1.1198208E-5
6.8,3.5584908E-6,3.7520183E-6,1.4950185E-5,3.9845712,1.1198208E-5,1.5250586E-5,1.6079981E-5,2.727801E-5,1.6963956,1.1198208E-5,1.8566006E-4,1.957566E-4,2.0695262E-4,1.0571935,1.1198208E-5,0.0018550502,0.0019558826,0.001967059,1.0057142,1.1198208E-5
6.9,2.532834E-6,2.6710034E-6,2.6710034E-6,1.0,0.0,1.0854958E-5,1.1447109E-5,1.1447109E-5,1.0,0.0,1.3215111E-4,1.3935992E-4,1.3935992E-4,1.0,0.0,0.0013207254,0.0013927529,0.0013927529,1.0,0.0
7.0,1.7083285E-6,1.8019439E-6,1.8019439E-6,1.0,0.0,7.3213873E-6,7.722595E-6,7.722595E-6,1.0,0.0,8.913424E-5,9.40187E-5,9.40187E-5,1.0,0.0,8.9098496E-4,9.3980576E-4,9.3980576E-4,1.0,0.0
7.1,1.0905424E-6,1.1497619E-6,1.1497619E-6,1.0,0.0,4.6737446E-6,4.9275427E-6,4.9275427E-6,1.0,0.0,5.6901354E-5,5.999128E-5,5.999128E-5,1.0,0.0,5.6886784E-4,5.997606E-4,5.997606E-4,1.0,0.0
7.2,6.06668E-7,6.387277E-7,6.387277E-7,1.0,0.0,2.600003E-6,2.7374022E-6,2.7374022E-6,1.0,0.0,3.1654577E-5,3.3327433E-5,3.3327433E-5,1.0,0.0,3.1650066E-4,3.3323118E-4,3.3323118E-4,1.0,0.0
