Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.4658423E-6,1.471566E-6,1.471566E-6,1.0,0.0,6.282166E-6,6.3066964E-6,6.3066964E-6,1.0,0.0,7.6482684E-5,7.67814E-5,9.341269E-5,1.2166058,1.663257E-5,7.645637E-4,7.6755567E-4,7.8417547E-4,1.0216529,1.663257E-5
6.1,1.4658423E-6,1.471566E-6,1.471566E-6,1.0,0.0,6.282166E-6,6.3066964E-6,6.3066964E-6,1.0,0.0,7.6482684E-5,7.67814E-5,9.341269E-5,1.2166058,1.663257E-5,7.645637E-4,7.6755567E-4,7.8417547E-4,1.0216529,1.663257E-5
6.2,1.4658423E-6,1.471566E-6,1.471566E-6,1.0,0.0,6.282166E-6,6.3066964E-6,6.3066964E-6,1.0,0.0,7.6482684E-5,7.67814E-5,9.341269E-5,1.2166058,1.663257E-5,7.645637E-4,7.6755567E-4,7.8417547E-4,1.0216529,1.663257E-5
6.3,1.4658423E-6,1.471566E-6,1.471566E-6,1.0,0.0,6.282166E-6,6.3066964E-6,6.3066964E-6,1.0,0.0,7.6482684E-5,7.67814E-5,9.341269E-5,1.2166058,1.663257E-5,7.645637E-4,7.6755567E-4,7.8417547E-4,1.0216529,1.663257E-5
6.4,1.0488257E-6,1.0527515E-6,1.0527515E-6,1.0,0.0,4.4949593E-6,4.5117845E-6,4.5117845E-6,1.0,0.0,5.472476E-5,5.492961E-5,7.156126E-5,1.3027812,1.663257E-5,5.4711284E-4,5.491622E-4,5.657857E-4,1.0302706,1.663257E-5
6.5,1.0488257E-6,1.0527515E-6,1.0527515E-6,1.0,0.0,4.4949593E-6,4.5117845E-6,4.5117845E-6,1.0,0.0,5.472476E-5,5.492961E-5,7.156126E-5,1.3027812,1.663257E-5,5.4711284E-4,5.491622E-4,5.657857E-4,1.0302706,1.663257E-5
6.6,8.463064E-7,8.4936323E-7,8.4936323E-7,1.0,0.0,3.6270226E-6,3.6401232E-6,3.6401232E-6,1.0,0.0,4.4158103E-5,4.4317607E-5,4.4317607E-5,1.0,0.0,4.414933E-4,4.4308856E-4,4.4308856E-4,1.0,0.0
6.7,7.876149E-7,7.902533E-7,7.902533E-7,1.0,0.0,3.375488E-6,3.3867955E-6,3.3867955E-6,1.0,0.0,4.109579E-5,4.1233463E-5,4.1233463E-5,1.0,0.0,4.108819E-4,4.1225873E-4,4.1225873E-4,1.0,0.0
6.8,6.9940785E-7,7.0165777E-7,7.0165777E-7,1.0,0.0,2.9974588E-6,3.0071012E-6,3.0071012E-6,1.0,0.0,3.649345E-5,3.6610847E-5,3.6610847E-5,1.0,0.0,3.6487455E-4,3.6604863E-4,3.6604863E-4,1.0,0.0
6.9,5.899658E-7,5.9155997E-7,5.9155997E-7,1.0,0.0,2.5284223E-6,2.5352545E-6,2.5352545E-6,1.0,0.0,3.0783107E-5,3.086629E-5,3.086629E-5,1.0,0.0,3.0778843E-4,3.086203E-4,3.086203E-4,1.0,0.0
7.0,4.793814E-7,4.803273E-7,4.803273E-7,1.0,0.0,2.05449E-6,2.058544E-6,2.058544E-6,1.0,0.0,2.501313E-5,2.5062485E-5,2.5062485E-5,1.0,0.0,2.5010316E-4,2.505968E-4,2.505968E-4,1.0,0.0
7.1,4.1256908E-7,4.129941E-7,4.129941E-7,1.0,0.0,1.768152E-6,1.7699736E-6,1.7699736E-6,1.0,0.0,2.1527037E-5,2.1549216E-5,2.1549216E-5,1.0,0.0,2.1524953E-4,2.1547142E-4,2.1547142E-4,1.0,0.0
7.2,2.822599E-7,2.8161418E-7,2.8161418E-7,1.0,0.0,1.2096847E-6,1.2069174E-6,1.2069174E-6,1.0,0.0,1.47278115E-5,1.4694121E-5,1.4694121E-5,1.0,0.0,1.4726835E-4,1.4693156E-4,1.4693156E-4,1.0,0.0
7.3,1.5261652E-7,1.5075021E-7,1.5075021E-7,1.0,0.0,6.540707E-7,6.460722E-7,6.460722E-7,1.0,0.0,7.963281E-6,7.8659E-6,7.8659E-6,1.0,0.0,7.962996E-5,7.865624E-5,7.865624E-5,1.0,0.0
7.4,7.976414E-8,8.057865E-8,8.057865E-8,1.0,0.0,3.418463E-7,3.45337E-7,3.45337E-7,1.0,0.0,4.1619705E-6,4.2044703E-6,4.2044703E-6,1.0,0.0,4.161893E-5,4.2043914E-5,4.2043914E-5,1.0,0.0
7.5,4.2715055E-8,4.3202512E-8,4.3202512E-8,1.0,0.0,1.830645E-7,1.8515361E-7,1.8515361E-7,1.0,0.0,2.228808E-6,2.2542429E-6,2.2542429E-6,1.0,0.0,2.2287857E-5,2.2542203E-5,2.2542203E-5,1.0,0.0
7.6,2.1807532E-8,2.2057476E-8,2.2057476E-8,1.0,0.0,9.346085E-8,9.4532034E-8,9.4532034E-8,1.0,0.0,1.1378852E-6,1.1509269E-6,1.1509269E-6,1.0,0.0,1.1378794E-5,1.1509211E-5,1.1509211E-5,1.0,0.0
7.7,4.7196043E-9,4.767283E-9,4.767283E-9,1.0,0.0,2.0226874E-8,2.0431212E-8,2.0431212E-8,1.0,0.0,2.4626218E-7,2.4874998E-7,2.4874998E-7,1.0,0.0,2.462619E-6,2.487497E-6,2.487497E-6,1.0,0.0
7.8,7.400003E-11,7.4654505E-11,7.4654505E-11,1.0,0.0,3.171432E-10,3.1994773E-10,3.1994773E-10,1.0,0.0,3.861218E-9,3.895363E-9,3.895363E-9,1.0,0.0,3.861218E-8,3.895363E-8,3.895363E-8,1.0,0.0
