Magnitude,UCERF3-TI Prob,UCERF3-TD Prob,UCERF3-ETAS Prob
6.0,0.6220986,0.35737488,0.425
6.1,0.37190548,0.18645187,0.235
6.2,0.11969468,0.05930307,0.089
6.3,0.095764525,0.04874913,0.073
6.4,0.077143535,0.040653992,0.063
6.5,0.06334029,0.03472695,0.051
6.6,0.044643093,0.026746966,0.039
6.7,0.038522035,0.02380777,0.033
6.8,0.03315597,0.021367965,0.03
6.9,0.022971168,0.016498802,0.021
7.0,0.017300041,0.012606279,0.014
7.1,0.011466527,0.008926288,0.01
7.2,0.0043269033,0.0042991745,0.001
7.3,0.0031628762,0.003176128,0.001
7.4,6.3097733E-4,6.330797E-4,0.0
7.5,3.7647062E-4,3.9215462E-4,0.0
